date,value
2021-03-01,120047.41148581477
2021-03-02,113694.272386633
2021-03-03,119881.47128546302
2021-03-04,117705.13114628736
2021-03-05,116870.07723483977
2021-03-06,126202.49292651218
2021-03-07,131999.69411944636
2021-03-08,140183.52833218628
2021-03-09,143038.15859906707
2021-03-10,137273.07486426548
2021-03-11,139617.64930794522
2021-03-12,135053.9114475797
2021-03-13,147002.37057429072
2021-03-14,141324.46279727764
2021-03-15,137147.66383727154
2021-03-16,138037.77624837498
2021-03-17,139449.41500344116
2021-03-18,135817.083428921
2021-03-19,138342.12739925057
2021-03-20,138112.71698401772
2021-03-21,136344.72738395658
2021-03-22,128544.0085646555
2021-03-23,127558.30848053833
2021-03-24,120963.52374397796
2021-03-25,121261.75728378067
2021-03-26,129910.52993805918
2021-03-27,130965.0531467462
2021-03-28,129005.88820065763
2021-03-29,138926.35925671025
2021-03-30,140740.230939818
2021-03-31,146774.48956182608
2021-04-01,150497.05589967116
2021-04-02,163163.569626061
2021-04-03,153591.80240116233
2021-04-04,158728.30159822587
2021-04-05,161151.64028446891
2021-04-06,161520.99105299378
2021-04-07,150146.822665749
2021-04-08,159093.0641584461
2021-04-09,158053.8349774413
2021-04-10,163148.2755983788
2021-04-11,164514.7969717825
2021-04-12,163469.4501797048
2021-04-13,175819.37753307333
2021-04-14,186021.25869847822
2021-04-15,192248.98677066606
2021-04-16,185261.9102240575
2021-04-17,177227.1927812189
2021-04-18,170959.7002370574
2021-04-19,165261.14552267338
2021-04-20,178177.71660166705
2021-04-21,180244.704442915
2021-04-22,183370.80370115468
2021-04-23,181034.64097270014
2021-04-24,169255.18085187732
2021-04-25,177448.19148122656
2021-04-26,193668.27253957329
2021-04-27,203879.3301215875
2021-04-28,210158.29318651065
2021-04-29,210831.230404527
2021-04-30,212007.34113328744
2021-05-01,225186.96948841476
2021-05-02,225553.2614514032
2021-05-03,262372.10369350767
2021-05-04,247687.54301445285
2021-05-05,269500.6499961765
2021-05-06,266860.13611684635
2021-05-07,266080.1407050546
2021-05-08,299018.1234228034
2021-05-09,300064.99961764924
