timestamp,open,high,low,close,volume
2022-05-30,7.12,8.36,7.05,8.12,3885323.07
2022-05-31,8.11,8.73,7.97,8.27,3793075.48
2022-06-01,8.26,8.44,7.43,7.62,3396828.8
2022-06-02,7.62,9.8,7.48,9.44,8340228.12
2022-06-03,9.45,9.64,7.81,7.92,6892942.7
2022-06-04,7.92,7.98,7.49,7.74,3598339.85
2022-06-05,7.75,7.76,7.27,7.35,2099675.31
2022-06-06,7.34,8.04,7.32,7.58,2620965.43
2022-06-07,7.59,7.6,6.74,6.82,5294967.75
2022-06-08,6.83,7.0,6.49,6.5,3723221.39
2022-06-09,6.5,6.96,6.29,6.4,3254282.6
2022-06-10,6.4,6.54,6.05,6.1,2318190.74
2022-06-11,6.1,6.7,5.55,5.97,15124011.72
2022-06-12,5.97,6.48,5.45,5.64,12414992.9
2022-06-13,5.64,6.12,5.19,5.44,8886097.77
2022-06-14,5.43,5.92,5.06,5.57,4697908.47
2022-06-15,5.57,6.05,5.03,6.0,4533324.67
2022-06-16,5.99,6.06,5.25,5.33,3733750.02
2022-06-17,5.33,5.56,5.23,5.44,1603202.11
2022-06-18,5.45,5.54,4.6,5.15,3404757.3
2022-06-19,5.14,5.54,4.9,5.49,2164790.55
2022-06-20,5.49,5.9,5.25,5.78,3429404.69
2022-06-21,5.77,6.28,5.62,5.84,3626095.77
2022-06-22,5.83,5.84,5.39,5.45,2441822.45
2022-06-23,5.45,5.88,5.43,5.81,3548685.37
2022-06-24,5.82,6.25,5.73,6.12,2687368.95
2022-06-25,6.12,6.47,5.92,6.32,2431558.21
2022-06-26,6.32,6.34,5.74,5.76,2588408.55
2022-06-27,5.75,6.14,5.67,5.78,2801321.61
2022-06-28,5.79,6.03,5.43,5.49,2512955.74
2022-06-29,5.49,5.62,5.26,5.42,1569163.19
2022-06-30,5.42,5.44,5.01,5.35,1541292.6
2022-07-01,5.35,5.47,5.12,5.24,1782847.84
2022-07-02,5.24,5.38,5.13,5.24,1218713.39
2022-07-03,5.25,5.3,5.12,5.24,755625.87
2022-07-04,5.25,5.62,5.19,5.59,1360909.27
2022-07-05,5.59,5.75,5.29,5.51,1737184.42
2022-07-06,5.51,5.73,5.39,5.63,2142323.27
2022-07-07,5.63,6.41,5.56,6.25,3291841.31
2022-07-08,6.25,7.48,5.95,6.95,4974380.51
2022-07-09,6.95,7.31,6.86,6.97,3365337.33
2022-07-10,6.98,7.05,6.32,6.39,2314057.41
2022-07-11,6.39,6.9,6.1,6.28,3024020.39
2022-07-12,6.28,6.62,6.18,6.29,2302418.69
2022-07-13,6.28,6.56,5.88,6.5,2942463.95
2022-07-14,6.5,6.94,6.27,6.83,2444443.84
2022-07-15,6.83,7.14,6.68,6.8,2279833.77
2022-07-16,6.8,7.45,6.62,7.12,1743716.33
2022-07-17,7.12,7.63,6.83,7.23,1958012.02
2022-07-18,7.23,7.84,7.18,7.54,2856244.32
2022-07-19,7.54,7.63,7.1,7.37,2439119.93
2022-07-20,7.36,7.57,6.46,6.74,2775603.48
2022-07-21,6.73,6.99,6.42,6.9,1882027.02
2022-07-22,6.9,7.1,6.39,6.48,1618520.89
2022-07-23,6.48,6.78,6.28,6.68,1587799.9
2022-07-24,6.68,6.81,6.52,6.61,1095575.71
2022-07-25,6.61,6.62,6.14,6.22,1514013.36
2022-07-26,6.22,6.61,6.02,6.59,1437863.62
2022-07-27,6.58,7.17,6.37,7.16,1476595.16
2022-07-28,7.15,7.46,6.98,7.26,2470201.03
2022-07-29,7.26,8.19,6.98,8.06,3368455.48
2022-07-30,8.06,9.39,8.01,8.29,7834686.99
2022-07-31,8.29,9.8,8.09,8.99,7143474.96
2022-08-01,9.0,9.36,8.05,8.33,4197959.61
2022-08-02,8.33,8.42,7.49,7.97,3109843.9
2022-08-03,7.97,8.38,7.64,7.86,2077610.31
2022-08-04,7.87,8.29,7.84,7.98,1764032.51
2022-08-05,7.99,8.4,7.87,8.38,1752282.35
2022-08-06,8.38,8.67,8.23,8.28,1468215.09
2022-08-07,8.28,8.37,8.1,8.24,775977.63
2022-08-08,8.24,8.67,8.15,8.26,1523662.29
2022-08-09,8.25,8.38,7.58,7.82,1435787.2
2022-08-10,7.83,8.47,7.62,8.35,1485646.32
2022-08-11,8.35,8.71,8.04,8.17,1845460.89
2022-08-12,8.18,8.42,8.02,8.38,1034480.0
2022-08-13,8.38,8.54,8.16,8.18,923504.96
2022-08-14,8.19,8.39,7.88,8.01,1115215.0
2022-08-15,8.01,8.21,7.63,7.78,1013724.38
2022-08-16,7.79,7.88,7.6,7.77,1003456.22
2022-08-17,7.77,8.25,7.33,7.37,1979486.34
2022-08-18,7.37,7.5,6.76,6.88,1355518.99
2022-08-19,6.88,6.89,6.26,6.4,2092274.96
2022-08-20,6.4,6.75,6.09,6.31,1509112.07
2022-08-21,6.31,6.62,6.26,6.45,1029761.33
2022-08-22,6.45,6.5,6.1,6.39,1075631.35
2022-08-23,6.39,6.48,6.13,6.37,1561215.08
2022-08-24,6.39,6.66,6.25,6.41,1168452.63
2022-08-25,6.41,6.66,6.26,6.35,1178188.02
2022-08-26,6.35,6.39,5.64,5.74,1820731.43
2022-08-27,5.74,6.48,5.65,6.29,2077183.15
2022-08-28,6.29,6.62,6.07,6.29,1727898.73
2022-08-29,6.28,6.76,6.15,6.68,1577024.4
